date,population
12-11-2012,2582.77002
13-11-2012,2561.860107
14-11-2012,2531.870117
15-11-2012,2524.360107
16-11-2012,2534.159912
19-11-2012,2595.830078
20-11-2012,2594.659912
21-11-2012,2600.47998
23-11-2012,2639.590088
26-11-2012,2651.669922
27-11-2012,2641.419922
28-11-2012,2665.27002
29-11-2012,2680.030029
30-11-2012,2677.879883
03-12-2012,2671.840088
04-12-2012,2667.889893
05-12-2012,2637.889893
06-12-2012,2656.300049
07-12-2012,2640.540039
10-12-2012,2647.570068
11-12-2012,2682.070068
12-12-2012,2674.570068
13-12-2012,2654.01001
14-12-2012,2628.090088
17-12-2012,2664.26001
18-12-2012,2705.389893
19-12-2012,2690.98999
20-12-2012,2693.550049
21-12-2012,2664.669922
24-12-2012,2658.050049
26-12-2012,2637.179932
27-12-2012,2632.939941
28-12-2012,2606.360107
31-12-2012,2660.929932
02-01-2013,2746.469971
03-01-2013,2732.26001
04-01-2013,2724.48999
07-01-2013,2724.219971
08-01-2013,2718.719971
09-01-2013,2727.649902
10-01-2013,2744.179932
11-01-2013,2748.26001
14-01-2013,2735.699951
15-01-2013,2722.97998
16-01-2013,2734.72998
17-01-2013,2747.149902
18-01-2013,2743.23999
22-01-2013,2746.189941
23-01-2013,2762.169922
24-01-2013,2723.530029
25-01-2013,2736.72998
28-01-2013,2742.429932
29-01-2013,2743.580078
30-01-2013,2738.709961
31-01-2013,2731.530029
01-02-2013,2763.959961
04-02-2013,2715.679932
05-02-2013,2754.98999
06-02-2013,2746.350098
07-02-2013,2746.5
08-02-2013,2775.560059
11-02-2013,2774.639893
12-02-2013,2762.620117
13-02-2013,2773.77002
14-02-2013,2771.429932
15-02-2013,2764.669922
19-02-2013,2782.860107
20-02-2013,2739.98999
21-02-2013,2711.51001
22-02-2013,2737.280029
25-02-2013,2700.969971
26-02-2013,2713.02002
27-02-2013,2741.26001
28-02-2013,2738.580078
01-03-2013,2747.75
04-03-2013,2759.530029
05-03-2013,2799.25
06-03-2013,2792.560059
07-03-2013,2799.48999
08-03-2013,2804.110107
11-03-2013,2811.860107
12-03-2013,2800.810059
13-03-2013,2798.679932
14-03-2013,2807.300049
15-03-2013,2799.409912
18-03-2013,2792.300049
19-03-2013,2787.27002
20-03-2013,2805.909912
21-03-2013,2774.850098
22-03-2013,2800.810059
25-03-2013,2789.449951
26-03-2013,2806.5
27-03-2013,2809.97998
28-03-2013,2818.689941
01-04-2013,2797.070068
02-04-2013,2820.620117
03-04-2013,2795.040039
04-04-2013,2794.919922
05-04-2013,2771.75
08-04-2013,2786.129883
09-04-2013,2804.669922
10-04-2013,2859.209961
11-04-2013,2859.070068
12-04-2013,2856.47998
15-04-2013,2797.469971
16-04-2013,2838.409912
17-04-2013,2781.97998
18-04-2013,2741.949951
19-04-2013,2780.459961
22-04-2013,2810.070068
23-04-2013,2835.370117
24-04-2013,2834.120117
25-04-2013,2848.659912
26-04-2013,2840.550049
29-04-2013,2866.949951
30-04-2013,2887.439941
01-05-2013,2873.350098
02-05-2013,2911.139893
03-05-2013,2944.590088
06-05-2013,2955.360107
07-05-2013,2952.879883
08-05-2013,2968.23999
09-05-2013,2961.120117
10-05-2013,2981.02002
13-05-2013,2982.090088
14-05-2013,2996.050049
15-05-2013,3002.620117
16-05-2013,2999.340088
17-05-2013,3028.959961
20-05-2013,3020.969971
21-05-2013,3026.449951
22-05-2013,2999.129883
23-05-2013,2991.449951
24-05-2013,2991.02002
28-05-2013,3011.939941
29-05-2013,2994.820068
30-05-2013,3011.830078
31-05-2013,2981.76001
03-06-2013,2990.790039
04-06-2013,2973.689941
05-06-2013,2937.139893
06-06-2013,2950.300049
07-06-2013,2990.870117
10-06-2013,2990.48999
11-06-2013,2959.840088
12-06-2013,2926.139893
13-06-2013,2962.899902
14-06-2013,2943.860107
17-06-2013,2971.26001
18-06-2013,2996.090088
19-06-2013,2959.5
20-06-2013,2890.330078
21-06-2013,2877.939941
24-06-2013,2848.199951
25-06-2013,2866.5
26-06-2013,2893.850098
27-06-2013,2906.840088
28-06-2013,2909.600098
01-07-2013,2927.350098
02-07-2013,2929.629883
03-07-2013,2941.409912
05-07-2013,2963.219971
08-07-2013,2966.129883
09-07-2013,2984.320068
10-07-2013,3000.659912
11-07-2013,3059.459961
12-07-2013,3079.070068
15-07-2013,3079.850098
16-07-2013,3077.469971
17-07-2013,3085.280029
18-07-2013,3077.820068
19-07-2013,3044.929932
22-07-2013,3055.22998
23-07-2013,3031.399902
24-07-2013,3041.159912
25-07-2013,3061.669922
26-07-2013,3076.22998
29-07-2013,3068.949951
30-07-2013,3085.330078
31-07-2013,3090.189941
01-08-2013,3126.300049
02-08-2013,3143.52002
05-08-2013,3143.189941
06-08-2013,3122.199951
07-08-2013,3118.689941
08-08-2013,3130.129883
09-08-2013,3118.570068
12-08-2013,3125.929932
13-08-2013,3141.060059
14-08-2013,3129.449951
15-08-2013,3076.22998
16-08-2013,3073.909912
19-08-2013,3069.76001
20-08-2013,3082.169922
21-08-2013,3071.469971
22-08-2013,3101.820068
23-08-2013,3124.27002
26-08-2013,3122.669922
27-08-2013,3059.580078
28-08-2013,3072.169922
29-08-2013,3093.360107
30-08-2013,3073.810059
03-09-2013,3091.76001
04-09-2013,3124.540039
05-09-2013,3129.939941
06-09-2013,3133.379883
09-09-2013,3169.929932
10-09-2013,3185.070068
11-09-2013,3179.860107
12-09-2013,3175.570068
13-09-2013,3178.280029
16-09-2013,3168.689941
17-09-2013,3190.830078
18-09-2013,3231.310059
19-09-2013,3237.610107
20-09-2013,3224.72998
23-09-2013,3219.340088
24-09-2013,3218.659912
25-09-2013,3208.550049
26-09-2013,3234.040039
27-09-2013,3230.300049
30-09-2013,3218.199951
01-10-2013,3253.050049
02-10-2013,3253.26001
03-10-2013,3213.830078
04-10-2013,3242.570068
07-10-2013,3215.689941
08-10-2013,3153.870117
09-10-2013,3142.540039
10-10-2013,3210.840088
11-10-2013,3233.830078
14-10-2013,3256.02002
15-10-2013,3244.659912
16-10-2013,3281.669922
17-10-2013,3301.280029
18-10-2013,3353.879883
21-10-2013,3361.179932
22-10-2013,3366.929932
23-10-2013,3346.050049
24-10-2013,3362.379883
25-10-2013,3383.830078
28-10-2013,3382.679932
29-10-2013,3391.75
30-10-2013,3385.379883
31-10-2013,3377.72998
01-11-2013,3379.76001
04-11-2013,3384.75
05-11-2013,3388.820068
06-11-2013,3385.379883
07-11-2013,3321.409912
08-11-2013,3366.840088
11-11-2013,3362.97998
12-11-2013,3365.22998
13-11-2013,3405.560059
14-11-2013,3415.139893
15-11-2013,3422.580078
18-11-2013,3388.870117
19-11-2013,3378.129883
20-11-2013,3367.169922
21-11-2013,3402.73999
22-11-2013,3422.02002
25-11-2013,3427.48999
26-11-2013,3445.76001
27-11-2013,3470.47998
29-11-2013,3487.820068
02-12-2013,3481.149902
03-12-2013,3479.340088
04-12-2013,3483.01001
05-12-2013,3477.72998
06-12-2013,3504.26001
09-12-2013,3516.169922
10-12-2013,3514.199951
11-12-2013,3468.98999
12-12-2013,3460.290039
13-12-2013,3456.399902
16-12-2013,3475.790039
17-12-2013,3469.320068
18-12-2013,3509.629883
19-12-2013,3498.629883
20-12-2013,3531.189941
23-12-2013,3569.399902
24-12-2013,3572.800049
26-12-2013,3584.580078
27-12-2013,3574.02002
30-12-2013,3570.080078
31-12-2013,3592
02-01-2014,3563.570068
03-01-2014,3538.72998
